name,fclass,geometry
,doctors,POINT (32.6297396 0.3346341)
Maternity Clinic,doctors,POINT (32.6285424 0.334006)
,doctors,POINT (32.6276931 0.3340635)
,doctors,POINT (32.6264055 0.3334994)
Namboza Family Clinic,doctors,POINT (32.6257781 0.3333891)
,doctors,POINT (32.6246186 0.3331128)
Mubya C/U Primary School,school,POINT (32.6232142 0.3282181)
,school,POINT (32.623089 0.3243245)
,pharmacy,POINT (32.6232985 0.3188907)
Bubbles Day Care,kindergarten,POINT (32.6264577 0.3194081)
,pharmacy,POINT (32.6318822 0.3192016)
Zone 7,restaurant,POINT (32.6325432 0.3195086)
Clovers School,school,POINT (32.6360151 0.3181903)
,school,POINT (32.6358015 0.315881)
Stanbic Bank,atm,POINT (32.6068138 0.3262108)
Nakawa Vocational Training Institute,school,POINT (32.6178802 0.3319527)
Crane Bank,atm,POINT (32.6273561 0.3387952)
,school,POINT (32.6429441 0.3604495)
Fairway Primary School,school,POINT (32.64605 0.3517342)
,doctors,POINT (32.645776 0.3508204)
,doctors,POINT (32.6462495 0.3491765)
Crane Bank,bank,POINT (32.6493659 0.3464267)
Endwario,doctors,POINT (32.6456213 0.3434238)
,doctors,POINT (32.6419972 0.3414356)
,doctors,POINT (32.6373315 0.3259768)
Mubya Nursery School,school,POINT (32.6235475 0.3221372)
,atm,POINT (32.620385 0.3194011)
KISSYFUR Kindergarten,school,POINT (32.6172602 0.3192644)
Montessori School,school,POINT (32.617475 0.3167803)
Chandaria Medical Clinic,doctors,POINT (32.6149937 0.3142449)
DTB,bank,POINT (32.611763 0.3142259)
,doctors,POINT (32.6074933 0.3125944)
,pharmacy,POINT (32.6082333 0.312108)
Stanbic Bank,atm,POINT (32.6104475 0.3104696)
,doctors,POINT (32.6142825 0.3041774)
,doctors,POINT (32.6145998 0.3040601)
Community Based Clinic - Uganda,doctors,POINT (32.619937 0.2999694)
Muyenga Nursery School,school,POINT (32.6230512 0.2982459)
Edwaliro Jorrisam MedCare Services,doctors,POINT (32.6289813 0.2922289)
Cornerstone Parents School,school,POINT (32.6327992 0.2876122)
Maranatha Clinic,doctors,POINT (32.6329348 0.2875197)
Peoples Clinic,doctors,POINT (32.6270375 0.2886215)
Bukasa Police Post,police,POINT (32.6218662 0.2885153)
Kansanga Senior Secondary School,school,POINT (32.6074584 0.2884484)
,doctors,POINT (32.6067653 0.2877509)
,doctors,POINT (32.6065837 0.2884647)
,pharmacy,POINT (32.6090267 0.2847471)
Barclays,atm,POINT (32.609825 0.2838045)
Hope Clinc,doctors,POINT (32.6076258 0.2869382)
,doctors,POINT (32.6063264 0.2891918)
Bank of Baroda,bank,POINT (32.6055354 0.2920952)
,doctors,POINT (32.6054812 0.2926526)
UBA,atm,POINT (32.6054211 0.2943024)
Orient Bank,atm,POINT (32.6051554 0.2944933)
Stanbic Bank,atm,POINT (32.6016047 0.2986392)
,pharmacy,POINT (32.6025761 0.2989173)
Vine pharmacy,pharmacy,POINT (32.6031797 0.298732)
Ethiopian Village,restaurant,POINT (32.6050191 0.2992723)
Chinese Medical Centre,doctors,POINT (32.6053064 0.2993912)
Biotech Nursery and Primary School,school,POINT (32.6058555 0.2993894)
,doctors,POINT (32.605786 0.3131446)
Ambrosoli International School,school,POINT (32.6204857 0.3076903)
Mirembe Clinic & Maternity,doctors,POINT (32.63577 0.3135488)
Family Care Clinic,doctors,POINT (32.6361158 0.314495)
,doctors,POINT (32.6329674 0.3159922)
Princeton Children's Medical Centre,clinic,POINT (32.5892961 0.3396125)
Koyro Dental & Traditional Clinic,dentist,POINT (32.5910367 0.341078)
Kololo Senior Secondary School,school,POINT (32.5988375 0.3379907)
,kindergarten,POINT (32.5939598 0.3416157)
Panorama Medical Center,doctors,POINT (32.5942904 0.341844)
Angela Medical Centre,doctors,POINT (32.5950108 0.342382)
,pharmacy,POINT (32.5895172 0.3428637)
Lady Bug Daycare,kindergarten,POINT (32.5898447 0.3431649)
The Kadiac - Kampala Diabetes Centre,doctors,POINT (32.5904696 0.3435778)
Smiles Dentals,dentist,POINT (32.5906872 0.3439318)
,doctors,POINT (32.5911723 0.3438744)
Kisuule Primary School,school,POINT (32.5943553 0.3503716)
,doctors,POINT (32.5950902 0.3524025)
,doctors,POINT (32.5962671 0.3524311)
,pharmacy,POINT (32.5979755 0.3519395)
,doctors,POINT (32.5979152 0.3513244)
Anoshu Clinic,doctors,POINT (32.5982099 0.3501099)
,pharmacy,POINT (32.5985735 0.3502982)
Luzria Hill Parent School,school,POINT (32.6423247 0.3090487)
,pharmacy,POINT (32.6442646 0.3040483)
Abba Medical & Dental Clinic,doctors,POINT (32.6446032 0.3040863)
,kindergarten,POINT (32.644604 0.3041157)
Lakeside College - Luzira,school,POINT (32.6472637 0.305825)
,doctors,POINT (32.6475336 0.3036371)
