name,fclass,geometry
Kwera Primary School,school,POINT (32.9972853 1.8329169)
Kwera Secondary School,school,POINT (33.0312728 1.8401002)
Lake View Nursery School,kindergarten,POINT (33.000747 1.8305285)
Nambieso Agro Secondary School,school,POINT (32.8782967 1.8875421)
New Dream Primary School,school,POINT (32.9663888 1.9128018)
Ogwil Primary School,school,POINT (32.900195 1.8606349)
Owiny Primary School,school,POINT (32.940104 1.9248207)
Saint Francis of Assisi Nursery School,school,POINT (32.8783349 1.8864996)
Destiny Of Hope Primary School,school,POINT (32.3938508 0.2265508)
Friends Academy Secondary School,school,POINT (32.387315 0.2421484)
Golden Acte Primary School,school,POINT (32.4128021 0.2529859)
Kabuye Primary School,school,POINT (32.3760123 0.2602394)
Kikondo Primary School,school,POINT (32.3843641 0.2311866)
M.s Green Valleys,school,POINT (32.349439 0.2168615)
Mbirintono Nursery School,school,POINT (32.3743458 0.2614388)
Moslem School,school,POINT (32.4001294 0.2456049)
Ndiwalana Technical School,school,POINT (32.3785715 0.2410938)
Nowel Girls Secondary School,school,POINT (32.4005424 0.2522453)
Nursery School,school,POINT (32.3486617 0.2187542)
Rubaga Mixed High School,school,POINT (32.3497977 0.2360615)
Saint John Bosco Primary School,school,POINT (32.3792362 0.242528)
Saint Joseph Of Nazareth Primary School,school,POINT (32.3651801 0.2465142)
Saint Lawrence Senior Secondary School Paris Palais,school,POINT (32.391486 0.2611552)
Saint Maria Goretti Senior Secondary School,school,POINT (32.3778869 0.2419233)
Saint Theresa Senior Secondary School Katende,school,POINT (32.3806924 0.2345578)
,school,POINT (32.3662767 0.236893)
,school,POINT (32.3725502 0.2473405)
,school,POINT (32.400722 0.2550136)
Sekaza Primary School,school,POINT (32.3554153 0.253014)
Ssenene Primary School,school,POINT (32.3548939 0.2060683)
Watoto Primary School,school,POINT (32.4038838 0.2487834)
Watoto Senior Secondary School,school,POINT (32.4053682 0.2497847)
The Chef,restaurant,POINT (32.6198062 0.3613462)
Apeero Primary School,school,POINT (34.104408 1.7178306)
Opeta Lake View Primary School,school,POINT (34.1093588 1.6826132)
Adere Primary School,school,POINT (34.0359024 1.7543473)
Akoboi Primary School,school,POINT (33.9375853 1.7456687)
Akurao Primary School,school,POINT (33.9453188 1.6787824)
Apuuton Primary School,school,POINT (34.0081757 1.7240738)
Kamenu Primary School,school,POINT (34.0737924 1.6881512)
Magoro Comprehensive Secondary School,school,POINT (34.1010618 1.7296099)
Magoro Primary School,school,POINT (34.1003983 1.7272651)
Omusingo Primary School,school,POINT (33.9378174 1.7186892)
Ongatunyo Primary School,school,POINT (33.9693092 1.706823)
Oriau Primary School,school,POINT (34.0815652 1.7471831)
Osudia Primary School,school,POINT (34.0747538 1.7197472)
Toroma High School,school,POINT (33.9618922 1.75588)
Toroma Primary School,school,POINT (33.9559439 1.751829)
Aunt Christine Nursery School,kindergarten,POINT (30.2920955 -0.4755615)
Bisozi Jesus Care Nursery,kindergarten,POINT (30.3011578 -0.4511678)
Buhimba Primary School,school,POINT (30.2838679 -0.4892219)
Buhweju Primary School,school,POINT (30.3686582 -0.3801409)
Buhweju Secondary School,school,POINT (30.3693951 -0.380714)
Bunura Primary School,school,POINT (30.3864153 -0.5092723)
Burungira Modern Nursery School,kindergarten,POINT (30.2363783 -0.427678)
Bushenyi Institute Of Commerce And Accountacy,school,POINT (30.263658 -0.4968278)
Bwina Primary School,school,POINT (30.3139024 -0.5111566)
Bwoga Preparatory School,school,POINT (30.3994255 -0.4218445)
Bwoga Primary School,school,POINT (30.3919079 -0.4244316)
Centenary Standard Primary School,school,POINT (30.3617404 -0.469852)
Christ Junior & Primary School,school,POINT (30.377134 -0.484549)
Cope School,school,POINT (30.3399289 -0.3934114)
Ekikurijo Primary School,school,POINT (30.262611 -0.4275952)
Ekiyanja Primary School,school,POINT (30.287168 -0.3877133)
Global Parents Primary School,school,POINT (30.3435148 -0.5008572)
Good Hope Nursery School,kindergarten,POINT (30.3595248 -0.5049204)
Home Care Nursery School,kindergarten,POINT (30.3809428 -0.5013424)
Home Care Preparatory School,school,POINT (30.3124494 -0.4705032)
Igabiro Primary School,school,POINT (30.3766151 -0.3962742)
Jack & Jill Preparatory Primary School,school,POINT (30.4002701 -0.4779855)
Kabirizi IV Nutrition Nursery School,kindergarten,POINT (30.3164598 -0.4949452)
Kabuga Primary School,school,POINT (30.2412622 -0.4119713)
Kabutsye Primary School,school,POINT (30.4024421 -0.4766416)
Kacwamba Nursery School,kindergarten,POINT (30.2503812 -0.4535765)
Kacwamba Primary School,school,POINT (30.2584088 -0.462536)
Kagazi Primary School,school,POINT (30.385729 -0.4545816)
Kajunju Primary School,school,POINT (30.2895984 -0.4657302)
Kajunju Senior Secondary School,school,POINT (30.2973432 -0.4786838)
Kakindo Primary School,school,POINT (30.339985 -0.4997697)
Kamurinda Primary School,school,POINT (30.3833114 -0.5189134)
Karaama Primary School,school,POINT (30.2496284 -0.4268454)
Karyango Primary School,school,POINT (30.3001825 -0.4479171)
Kashanjure Primary School,school,POINT (30.3725968 -0.4879833)
Katagata Primary School,school,POINT (30.283036 -0.42093)
Katiba Primary School,school,POINT (30.3760524 -0.3819185)
Katikamwe Primary School,school,POINT (30.2450738 -0.5193382)
Katinda Primary School,school,POINT (30.371566 -0.4319734)
Katojo Primary School,school,POINT (30.3921129 -0.4539688)
Kayanga Primary School,school,POINT (30.2932134 -0.4299098)
Kayonza Primary School,school,POINT (30.2815565 -0.354014)
Kazigangore Primary School,school,POINT (30.3264891 -0.4669809)
Kibona Primary School,school,POINT (30.298834 -0.5101133)
Kibona Senior School,school,POINT (30.2983903 -0.5113751)
Kigarama Cop School,school,POINT (30.3900086 -0.5030658)
Kihire Primary School,school,POINT (30.2812254 -0.5138508)
Kihumuro Primary School,school,POINT (30.2580608 -0.5152802)
Kiisa Preparatory School,school,POINT (30.3506835 -0.3528053)
Kitwe Primary School,school,POINT (30.2733547 -0.4783463)
Kyabugimbi Central Development Primary School,school,POINT (30.2648246 -0.4977431)
Kyabugimbi Central School,school,POINT (30.2667827 -0.5000474)
Kyabugimbi Parental Care Nursery School,kindergarten,POINT (30.2655304 -0.4995247)
Kyabugimbi Technical Institute,school,POINT (30.2711985 -0.4398861)
Kyakuhanda Primary School,school,POINT (30.3208078 -0.4271358)
Kyamiko Primary School,school,POINT (30.2975306 -0.4697021)
Kyamotojo Primary School,school,POINT (30.3120973 -0.3628112)
Kyangyenyi Primary School,school,POINT (30.3306641 -0.5058829)
Light Kaana Nursery School,kindergarten,POINT (30.3202886 -0.5062018)
Little Angel Primary School,school,POINT (30.2967806 -0.4777121)
Mabanga Church School,school,POINT (30.342902 -0.3676727)
Masheruka Girls Secondary School,school,POINT (30.4051949 -0.4565402)
Masheruka Technical School,school,POINT (30.3980883 -0.4643557)
Masyoro Nursery School,kindergarten,POINT (30.3681463 -0.4696864)
Masyoro Primary School,school,POINT (30.3695501 -0.4699158)
Mugyerebiri Primary School,school,POINT (30.3556341 -0.4591204)
Mukora Primary School,school,POINT (30.2958771 -0.4847214)
Muruziya Mother Care Nursery School,kindergarten,POINT (30.2398419 -0.4226729)
Muzira Central Nursery School,kindergarten,POINT (30.3296196 -0.4680429)
Muzira Primary School,school,POINT (30.333645 -0.4682305)
Muzira Secondary School,school,POINT (30.3319685 -0.4701552)
New Christ Nursery School,kindergarten,POINT (30.3716958 -0.4808565)
New Generation Primary School,school,POINT (30.3997851 -0.4616645)
Ntengye Nursery School,kindergarten,POINT (30.2399745 -0.4213505)
Nyabwina Model Primary School,school,POINT (30.403407 -0.4437886)
Nyakabanga Primary School,school,POINT (30.2787285 -0.5152389)
Nyakabanga Senior School,school,POINT (30.2890194 -0.5153265)
Nyakabare Primary School,school,POINT (30.2714523 -0.4440984)
Nyakahita Primary School,school,POINT (30.3015819 -0.3954138)
Nyakashaka Little Nursery School,kindergarten,POINT (30.323491 -0.4118708)
Nyakashaka Primary School,school,POINT (30.3235083 -0.4093835)
Nyakatete Nursery School,kindergarten,POINT (30.2372815 -0.4372371)
Nyakatoma Nursery School,kindergarten,POINT (30.2370472 -0.4565997)
Nyakatooma Primary School,school,POINT (30.3121519 -0.4488833)
Nyakibirizi Primary School,school,POINT (30.3282349 -0.4972455)
Nyakitoko Primary School,school,POINT (30.3267549 -0.446928)
Nyakitoko Senior Secondary School,school,POINT (30.3202667 -0.435557)
Nyamabare Moslem Nursery School,kindergarten,POINT (30.2712478 -0.5204041)
Nyamyerande Primary School,school,POINT (30.2469242 -0.4809874)
Nyeibingo Parents Primary School,school,POINT (30.2804421 -0.4465873)
Nyeibingo Primary School,school,POINT (30.2759769 -0.4446259)
Pearl High School,school,POINT (30.3633558 -0.5067892)
Primary School,school,POINT (30.3443654 -0.4937728)
Rubengye Primary School,school,POINT (30.2985418 -0.3576953)
Rushambya Primary School,school,POINT (30.255369 -0.4151655)
Rwajere Primary School,school,POINT (30.2746339 -0.3954992)
Rwandaeo Primary School,school,POINT (30.2852864 -0.434052)
Rwebicucu Primary School,school,POINT (30.3710735 -0.3645545)
Rweibaare Child Development Centre,school,POINT (30.3530997 -0.5104016)
Rweibaare Primary School,school,POINT (30.3523087 -0.5114431)
Rweibaare Secondary School,school,POINT (30.3501235 -0.5122125)
Rwemihoko Nursery School,kindergarten,POINT (30.2425425 -0.4446113)
Rwera Primary School,school,POINT (30.3079944 -0.4479268)
Rwikiriro Primary School,school,POINT (30.2712432 -0.5261857)
Ryamasa Preparatory School,school,POINT (30.3129897 -0.4640144)
Ryamasa Primary School,school,POINT (30.3126997 -0.4773186)
Ryamujuni Primary School,school,POINT (30.3514166 -0.3886524)
Ryashenga Primary School,school,POINT (30.3186517 -0.3903772)
Ryenjoki Preparatory Nursery School,kindergarten,POINT (30.3603778 -0.5049264)
Saint John's Nyabwina Secondary School,school,POINT (30.4041491 -0.4425084)
Saint Jude Primary School,school,POINT (30.4014613 -0.4746675)
Tye Secondary School,school,POINT (30.4015959 -0.4700852)
Visionary Junior School,school,POINT (30.3878998 -0.5045228)
Vanguard Pharmacy,pharmacy,POINT (32.6206198 0.3615521)
Aberdyang Doto Primary School,school,POINT (32.7928802 2.2118217)
Aberdyangdoto Nursery School,kindergarten,POINT (32.8036519 2.2133402)
Abongodic Primary School,school,POINT (32.7366791 2.1531809)
Adyang Annex Primary School,school,POINT (32.8277561 2.1851682)
Adyang Primary School,school,POINT (32.8067546 2.1616346)
Adyeda Primary School,school,POINT (32.8146167 2.1340304)
Akalo Primary School,school,POINT (32.8251096 2.1376228)
Akalo Progressive Technical School,school,POINT (32.8358316 2.1487678)
Akalo Secondary School,school,POINT (32.8226566 2.1376837)
Akoremor Primary School,school,POINT (32.7737288 2.113411)
Akutabwole Primary School,school,POINT (32.7414091 2.1094645)
Aleli Banya Primary School,school,POINT (32.7611776 2.2464637)
Alem Primary School,school,POINT (32.78486 2.2425054)
Alik Primary School,school,POINT (32.8502759 2.1402203)
Alpha Nursery School,school,POINT (32.8292135 2.1383582)
Amuca Primary School,school,POINT (32.8338565 2.272573)
Anai-Annex Primary School,school,POINT (32.8403854 2.1996498)
Angic Primary School,school,POINT (32.7228017 2.2365443)
Bala Primary School,school,POINT (32.7463111 2.1947834)
Bala Secondary School,school,POINT (32.7466625 2.1991727)
Bala Technical School,school,POINT (32.7427595 2.1871866)
Barapwo Primary School,school,POINT (32.8470809 2.2530913)
Bishop Orombi School,school,POINT (32.8701252 2.2178407)
Buluge Secondary School,school,POINT (32.8673161 2.2252026)
Citizen Nursery School,school,POINT (32.8706611 2.2064987)
Father Aloysius Secondary School,school,POINT (32.751462 2.1863763)
Fountain Institute Church,school,POINT (32.8432963 2.2743218)
Iduka Nursery School,school,POINT (32.7741739 2.1629439)
Igel Primary School,school,POINT (32.853222 2.1779087)
Light Vocational Secondary School,school,POINT (32.8256228 2.2763112)
Lira Secondary School,school,POINT (32.835743 2.2706022)
Nua Nursery School,kindergarten,POINT (32.8505064 2.2579055)
Nursery School,school,POINT (32.774352 2.1532246)
Nursery School,school,POINT (32.700623 2.1571814)
Nursery School,school,POINT (32.8009122 2.2836965)
Ober Primary School,school,POINT (32.8670654 2.2546585)
Olaka Primary School,school,POINT (32.8289195 2.2360659)
Omuge Primary School,school,POINT (32.7447685 2.1880751)
Ongola Nursery School,kindergarten,POINT (32.7382351 2.142987)
Primary School,school,POINT (32.7496553 2.1882333)
Primary School,school,POINT (32.8402161 2.2243662)
Primary School,school,POINT (32.704691 2.2539703)
Puno-Oluro Primary School,school,POINT (32.8206969 2.1953016)
Roman Nursery School,school,POINT (32.825427 2.2747128)
Stanne Mixed Primary School,school,POINT (32.8693923 2.2578885)
Saint Kizito Primary School,school,POINT (32.8615928 2.2718583)
Saint Peter's Nursery School,kindergarten,POINT (32.8663353 2.1147297)
Saint Peter's Nursery School,school,POINT (32.8528265 2.1751221)
Saint Victor Secondary School,school,POINT (32.8654457 2.2665054)
Saint Victor Vocational School,school,POINT (32.8623697 2.2621504)
Sda Primary School,school,POINT (32.8531631 2.2636666)
Sda Secondary School,school,POINT (32.8530778 2.2664968)
Te Obia Primary School,school,POINT (32.7938797 2.1704249)
Teogali Primary School,school,POINT (32.7155303 2.1279476)
Tier Ra Infant School,kindergarten,POINT (32.7097831 2.1890051)
Umoja Vocational School,school,POINT (32.8701821 2.2086293)
Universal Nursery School,school,POINT (32.7440531 2.1863997)
Upendo Technical School,school,POINT (32.8512859 2.2219102)
Abakuli Primary School,school,POINT (33.2244602 2.0348089)
Abalang Secondary School,school,POINT (33.2872919 1.9765987)
Abenyo Primary School,school,POINT (33.2550648 1.9705595)
Adageny Primary School,school,POINT (33.2550179 2.0455253)
Ajonyi Primary School,school,POINT (33.3360622 2.0953951)
Akeriau Primary School,school,POINT (33.3967564 2.0097643)
Akisim Primary School,school,POINT (33.3550038 2.0375155)
Akwanga Primary School,school,POINT (33.2380534 2.0739269)
Amononeno Primary School,school,POINT (33.2842753 2.0898511)
Amuga Agro Technical institute,school,POINT (33.3296586 2.106172)
Amugu Primary School,school,POINT (33.3322752 2.1020475)
Amugu Secondary School,school,POINT (33.3350748 2.104055)
Angoitok Primary School,school,POINT (33.2989107 2.0153194)
Anyara Primary School,school,POINT (33.3246467 2.0497285)
Anyara Secondary School,school,POINT (33.3236238 1.9882427)
Awielem Primary School,school,POINT (33.2616026 1.9954936)
Awiri Primary School,school,POINT (33.2284302 1.9509137)
Kabelipira Primary School,school,POINT (33.2917125 1.9586836)
Kaberokole Primary School,school,POINT (33.2703645 1.9436941)
Kamidakan Primary School,school,POINT (33.3499622 1.9407715)
Moru Primary School,school,POINT (33.3704279 1.9668491)
Ogwolo Primary School,school,POINT (33.2978387 2.0008094)
Okude Primary School,school,POINT (33.3745332 2.0635673)
Okwalongwen Primary School,school,POINT (33.2673347 2.0287589)
Omid Primary School,school,POINT (33.340145 2.0268653)
Ongoromu Primary School,school,POINT (33.3158609 1.9544008)
Onweng Primary School,school,POINT (33.2322885 1.9440825)
Onyikir Primary School,school,POINT (33.3196852 1.9842527)
Primary School,school,POINT (33.3025733 2.0540531)
Project Christian Children's Fund (CCF) Nursery School,kindergarten,POINT (33.2241993 2.0339404)
Temele Primary School,school,POINT (33.3893926 2.0289853)
Acilo Corner Primary School,school,POINT (33.1804212 1.7990401)
Adwila Modern Primary School,school,POINT (33.0970295 1.8871074)
Agwencibange Nursery School,kindergarten,POINT (33.1745774 1.9189645)
Agwencibange Primary School,school,POINT (33.1749821 1.9199189)
Ajaa B Compassion Nursery School,kindergarten,POINT (33.0772207 1.8817524)
Ajwati Nursery School,kindergarten,POINT (33.0666835 1.9087679)
Akwarakwara Primary School,school,POINT (33.1068769 1.7618023)
Alem Primary School,school,POINT (33.1575412 1.7773544)
Aliwok Primary School,school,POINT (33.0544252 1.8236879)
Alwa Primary School,school,POINT (33.1703668 1.8526886)
Alwa Secondary School,school,POINT (33.169713 1.8457844)
Alwa Technical School,school,POINT (33.1700287 1.8466391)
Amatiburu Primary School,school,POINT (33.0985837 1.8631139)
Amwangi Primary School,school,POINT (33.0474665 1.8459263)
Aneralibi Primary School,school,POINT (33.0688473 1.8530315)
Angai Primary School,school,POINT (33.0936349 1.7973859)
Angwenya Primary School,school,POINT (33.0770742 1.8224295)
Apenyo Weo Primary School,school,POINT (33.0554532 1.919417)
Atur Primary School,school,POINT (33.129463 1.897401)
Aturigalin Primary School,school,POINT (33.2053553 1.7856471)
Ayuni Nursery School,kindergarten,POINT (33.0673542 1.8101889)
Bethle Primary School,school,POINT (33.0974563 1.7991137)
Bira Nursery School,kindergarten,POINT (33.1333449 1.8357852)
Bira Primary School,school,POINT (33.1346115 1.8352739)
Christ The King College,school,POINT (33.1996645 1.8917002)
Dokolo Primary School,school,POINT (33.1716813 1.9106758)
Dokolo Progressive Senior Secondary School,school,POINT (33.1563324 1.922419)
Dokolo Technical School,school,POINT (33.1704061 1.9075803)
Ebeneza Vocational Institute,school,POINT (33.1674495 1.9131564)
Education Offices,school,POINT (33.1758077 1.9143229)
El Shaddai Primary School,school,POINT (33.1645525 1.9204818)
Good Hope Primary and Nursery School,school,POINT (33.1606762 1.9188089)
Iguli Primary School,school,POINT (33.1353418 1.9339464)
Ilong Primary School,school,POINT (33.080228 1.7720813)
Jack & Jill Nursery and Primary School,school,POINT (33.1737716 1.9089461)
Kabalega Memorial Primary School,school,POINT (33.0957838 1.7964358)
Kaberamaido Primary School,school,POINT (33.149535 1.766281)
Kangai Secondary School,school,POINT (33.0996378 1.8055094)
Katinti Primary School,school,POINT (33.174528 1.8759924)
Midland Secondary School,school,POINT (33.1547149 1.7651524)
Okwangodul Primary School,school,POINT (33.0856015 1.8958657)
Omarai Primary School,school,POINT (33.2223836 1.8324235)
Ominai Primary School,school,POINT (33.199512 1.8535696)
Oyama Primary School,school,POINT (33.1210479 1.7809002)
Oyamaeolu Primary School,school,POINT (33.1326752 1.8061412)
Oyirogole Primary School,school,POINT (33.0975398 1.8483851)
Saint John Bosco Secondary School,school,POINT (33.1789228 1.921676)
Saint Margare Nursery School,kindergarten,POINT (33.0548329 1.9252072)
Saint Thomas Senior Secondary School,school,POINT (33.1557279 1.7750815)
Technical School,school,POINT (33.1775845 1.9188205)
Tede Primary School,school,POINT (33.1697031 1.8290095)
Victory Nursery School,kindergarten,POINT (33.1613768 1.9199322)
,restaurant,POINT (31.5366234 2.4802508)
Aarapoo Primary School,school,POINT (33.2279149 1.4223889)
Adukut Primary School,school,POINT (33.2395631 1.5243)
Adwenyi Community Primary School,school,POINT (33.2622376 1.5248137)
Akumoi Primary School,school,POINT (33.3925058 1.4714474)
Amiem Community Primary School,school,POINT (33.2298687 1.4972085)
Apapai Government Primary School,school,POINT (33.2943481 1.5280138)
Aswii Primary School,school,POINT (33.2640825 1.4182741)
Bright College Secondary School,school,POINT (33.3681611 1.5674858)
Bugondo Primary School,school,POINT (33.3626268 1.5699786)
Burden Powell Primary School,school,POINT (33.3669546 1.5621196)
Christian Joy Primary School,school,POINT (33.3646655 1.5672343)
Grace Light Primary School,school,POINT (33.3648125 1.5644988)
Kamod Primary School,school,POINT (33.3700405 1.5639076)
Kamod Township Secondary School,school,POINT (33.3669445 1.5632815)
Kasko Youth Technical School,school,POINT (33.3672822 1.5640917)
Kidetok Nursery School,kindergarten,POINT (33.3898492 1.4930453)
Kongoto Government Primary School,school,POINT (33.330217 1.5314165)
Labori Primary School,school,POINT (33.2485385 1.4408743)
Obangin Primary School,school,POINT (33.3017462 1.4827802)
Oculul Primary School,school,POINT (33.3854197 1.5290239)
Ogera Primary School,school,POINT (33.2973837 1.5563286)
Okidi Nursery School,kindergarten,POINT (33.3602055 1.4721886)
Okidi Primary School,school,POINT (33.3598409 1.4697707)
Olwa Kasilo Primary School,school,POINT (33.3604391 1.4952446)
Omirai Primary School,school,POINT (33.3338298 1.4581922)
Omongolem Community Primary School,school,POINT (33.300471 1.5750366)
Opunoi Primary School,school,POINT (33.297138 1.4616255)
Otaba Primary School,school,POINT (33.2722746 1.4560271)
Pingire Primary School,school,POINT (33.3662528 1.4395605)
Pingire Secondary School,school,POINT (33.3723561 1.4393674)
Sambwa Primary School,school,POINT (33.3472086 1.4177423)
Toror Primary School,school,POINT (33.2662998 1.5525333)
Aguu Primary School,school,POINT (32.7498252 3.716471)
Dibolyec Primary School,school,POINT (32.7973511 3.7009858)
Ngomoromo Primary School,school,POINT (32.5844055 3.6921538)
Okidi Primary School,school,POINT (32.2213073 3.2649322)
Raa Primary School,school,POINT (32.1958259 3.3074709)
Abang Primary School,school,POINT (32.3748916 2.3040546)
Acaba Primary School,school,POINT (32.4600119 2.3654437)
Acaba Senior Secondary School,school,POINT (32.5150771 2.3556832)
Acaba Technical School,school,POINT (32.4825688 2.4004464)
Aceno Primary School,school,POINT (32.4230282 2.4198729)
Adel Primary School,school,POINT (32.3817708 2.4428064)
Akula Primary School,school,POINT (32.3555639 2.3008253)
Aminomir Primary School,school,POINT (32.3918344 2.3721709)
Amwa Demonstration Primary School,school,POINT (32.3869065 2.3225092)
Anyeke Primary School,school,POINT (32.5142695 2.3900474)
Apworocero Primary School,school,POINT (32.3826553 2.398047)
Atipe Primary School,school,POINT (32.4586474 2.3309264)
Awelo Butoryo Primary School,school,POINT (32.5142637 2.3570153)
Classic Community Nursery School,kindergarten,POINT (32.3844138 2.3224913)
Doctor Oryang Secondary School,school,POINT (32.3833748 2.4427511)
Dogapio Primary School,school,POINT (32.4434963 2.3061144)
God Gives Nursery School,kindergarten,POINT (32.3795968 2.4469267)
Kulakula Primary School,school,POINT (32.5039661 2.4569613)
New Direction Nursery School,kindergarten,POINT (32.492648 2.3337652)
New Hope Nursery School,kindergarten,POINT (32.5053348 2.3904401)
Obangangeo Primary School,school,POINT (32.5106089 2.3087334)
Obot Primary School,school,POINT (32.4436211 2.3885069)
Ogugu Primary School,school,POINT (32.4954765 2.287023)
Ogwangapur Primary School,school,POINT (32.4691305 2.2972458)
Okure Primary School,school,POINT (32.4918356 2.4314162)
Omac Primary School,school,POINT (32.4473111 2.4448584)
Sacred Heart Of Jesus Vocational Institute,school,POINT (32.3795021 2.4423851)
Saint Francis Amoli Memorial Nursery School,kindergarten,POINT (32.4700287 2.3941185)
Saint Joseph Technical School,school,POINT (32.4568655 2.3508228)
Saint Peter's Claver Comprehensive Secondary School,school,POINT (32.3879559 2.3201293)
Wigweng Primary School,school,POINT (32.4811475 2.4032702)
Nkondo Primary School,school,POINT (30.8721181 1.4101962)
Nursery School,school,POINT (30.9368161 1.5071662)
Nyawaiga Primary School,school,POINT (30.9065307 1.4363931)
Tonya Primary School,school,POINT (31.0895923 1.5862117)
Kishenyi Primary School,school,POINT (29.8693364 -0.3103396)
Aharubanga Church Primary School,school,POINT (30.1168917 -0.6783962)
Amah Orphanage Vocational Centre,school,POINT (30.0967591 -0.5384393)
Asha Nursery School,kindergarten,POINT (30.1338908 -0.5842134)
Bbukongoro Primary School,school,POINT (30.1030339 -0.6578804)
Bikungu Model Primary School,school,POINT (30.0996228 -0.6865097)
Bikungu Primary Teachers' College,college,POINT (30.1002268 -0.6937746)
Bishop Ogez High School,school,POINT (30.1246922 -0.5281865)
Bishop Tom Primary School,school,POINT (30.0700561 -0.6767556)
Bitooma Comprehensive Secondary School,school,POINT (30.0864856 -0.6102651)
Bitooma Primary School,school,POINT (30.0842612 -0.6128428)
Bright Academy Nursery School,kindergarten,POINT (30.098841 -0.579516)
Bright Career Vocational Institute,school,POINT (30.1228719 -0.534797)
Bright Nursery School,kindergarten,POINT (30.1174199 -0.5505953)
Bubaare Primary School,school,POINT (30.059832 -0.6002484)
Bukumbya Primary School,school,POINT (30.1150029 -0.5611544)
Bumbaire Primary School,school,POINT (30.1964967 -0.5871028)
Bunyarigi Model Primary School,school,POINT (30.1540952 -0.573375)
Burimbi Model Primary School,school,POINT (30.093533 -0.5726206)
Bushenyi High School,school,POINT (30.1683551 -0.5440584)
Bushenyi Infant School,kindergarten,POINT (30.1835921 -0.5409559)
Bushenyi Pioneer High School,school,POINT (30.1901908 -0.5437233)
Bushenyi Primary Teachers' College,college,POINT (30.2194673 -0.5434869)
Bushenyi Town School,school,POINT (30.1881133 -0.5379872)
Bushenyi Vocational Institute,school,POINT (30.1929883 -0.5417819)
Bweyo Primary School,school,POINT (30.0947337 -0.673326)
Bwoma Primary School,school,POINT (30.1340265 -0.5899333)
Bwoma Primary School,school,POINT (30.1348907 -0.592717)
Bwooma Primary School,school,POINT (30.1303137 -0.6757517)
Child Care Nursery and Primary School,school,POINT (30.1528955 -0.5746404)
Childcare Infant School,kindergarten,POINT (30.0882521 -0.5418959)
Citizens' High School Mutara,school,POINT (30.0983258 -0.6887836)
Cope School,school,POINT (30.2001676 -0.6446005)
Crane High School,school,POINT (30.1331618 -0.588034)
Crane Management Institute,school,POINT (30.1986167 -0.5460922)
Day Star Primary School,school,POINT (30.1832092 -0.592417)
Desire Nursery School,kindergarten,POINT (30.1663572 -0.6257555)
Dezmuk Q. Junior School,school,POINT (30.140239 -0.5509076)
Excel College of Commerce,school,POINT (30.123139 -0.5335356)
Furuma Primary School,school,POINT (30.1125304 -0.6794593)
God is Good Junior Primary School,school,POINT (30.1409959 -0.6264227)
Grammar Primary School,school,POINT (30.1515623 -0.6731835)
Hill Side Vocational School,school,POINT (30.1539323 -0.6701037)
Ibaare Girls Primary School,school,POINT (30.1493801 -0.6181439)
Ibaare Primary School,school,POINT (30.1503553 -0.6185111)
Igambiro Primary School,school,POINT (30.112718 -0.5953626)
Ikimba Primary School,school,POINT (30.1052489 -0.6420158)
Institute of Professional,school,POINT (30.1610644 -0.5404847)
Ishaka Adventist School Of Nursing,school,POINT (30.1380861 -0.5444342)
Ishaka Comprehensive Senior Secondary School,school,POINT (30.1214344 -0.5557853)
Ishaka Preparatory Primary School,school,POINT (30.1332079 -0.5416598)
Ishaka Secondary School,school,POINT (30.1303406 -0.5474895)
Ishaka Town School,school,POINT (30.1417432 -0.5512832)
Ishaka Vocational Secondary School,school,POINT (30.1257719 -0.5497881)
Isimbi Academy Primary School,school,POINT (30.1901947 -0.590707)
Jesus Cares Nursery and Primary School,school,POINT (30.1190871 -0.5418415)
Kabakama Primary School,school,POINT (30.1682938 -0.6385203)
Kabande Primary School,school,POINT (30.0801882 -0.5760989)
Kaburengye Primary School,school,POINT (30.1315664 -0.5411815)
Kabushaho Primary School,school,POINT (30.1831316 -0.5916529)
Kagari Primary School,school,POINT (30.151182 -0.6545222)
Kaginda Day and Boarding Primary School,school,POINT (30.0991186 -0.6896614)
Kaginda Secondary School,school,POINT (30.098522 -0.6896203)
Kahungye Primary School,school,POINT (30.0608889 -0.5545448)
Kainamo Cop School,school,POINT (30.1614343 -0.6369277)
Kainamo Primary School,school,POINT (30.163805 -0.6371818)
Kakoma Primary School,school,POINT (30.114648 -0.5380814)
Kantunda Modern Primary School,school,POINT (30.1736857 -0.5940453)
Kanyegyero Primary School,school,POINT (30.1026902 -0.5871774)
Karama Primary School,school,POINT (30.0702961 -0.5390078)
Karugorora Primary School,school,POINT (30.23037 -0.6632558)
Kasaana High School,school,POINT (30.2097036 -0.6947404)
Kasaana Primary School,school,POINT (30.201291 -0.687496)
Kasaana Primary School,school,POINT (30.2085713 -0.6939704)
Kasaana Vocational Secondary School,school,POINT (30.2108186 -0.6929074)
Kasharazi Primary School,school,POINT (30.2177342 -0.6656125)
Kashekuro Parents' Primary School,school,POINT (30.2185944 -0.6361515)
Kashenyi Primary School,school,POINT (30.1358464 -0.5790226)
Kashenyi Vocational Senior Secondary School,school,POINT (30.1318427 -0.5844143)
Kasya Avenue Nursery School,kindergarten,POINT (30.2229908 -0.6689355)
Katonya Primary School,school,POINT (30.2032598 -0.6163611)
Katungo Model Primary School,school,POINT (30.1371942 -0.5517897)
