,unified_signed,unified_abs
amenity_college_within_2km,0.01124147673857591,0.6701797944010776
amenity_pub_within_2km,0.003361278981024949,0.3311596632938884
amenity_public_building_within_2km,0.0027532139661767116,0.15969694066660195
amenity_school_within_5km,-0.046208505759393864,0.14259745936847404
amenity_university_within_2km,0.002061985781168586,0.11226102663455109
dist_nearest_college_m,0.0057100274453584865,0.09703917589113721
dist_nearest_shelter_m,0.007072140338224549,0.07127024235587252
dist_nearest_hospital_m,9.466830173244725e-05,0.0501356736504745
dist_nearest_public_building_m,-0.010219812741666159,0.0377099653899383
amenity_fast_food_within_2km,0.0007603275985986586,0.03610850321825118
dist_nearest_pub_m,-0.00664743514120842,0.026455422142724623
dist_nearest_doctors_m,0.00018364951050936672,0.026219134118798743
dist_nearest_bar_m,0.0003055192950924758,0.023802936749476828
dist_nearest_fire_station_m,0.005488151594697807,0.02044822903961883
log_dist_nearest_college_m,0.0008750831595423269,0.01689937858705509
dist_nearest_cafe_m,0.006231451699023646,0.016310945399254182
dist_nearest_kindergarten_m,0.007174201527650538,0.016133504978109444
amenity_hospital_within_2km,-0.0025671910835759256,0.015060551979706063
dist_nearest_library_m,0.0008515644554978669,0.014738135116990311
dist_nearest_fast_food_m,-0.009743250411238455,0.014637928464565285
dist_nearest_dentist_m,-0.002800914666462943,0.014554160196963607
dist_nearest_cinema_m,-0.0013758294037748559,0.013423978249662316
log_dist_nearest_shelter_m,0.0010288749585033324,0.012450639109090562
dist_nearest_pharmacy_m,0.002226576719825245,0.011760892527182503
dist_nearest_school_m,0.001871715352963018,0.010616591644420217
dist_nearest_clinic_m,0.00040222907881645986,0.008984556453843726
log_dist_nearest_hospital_m,-0.00019000442087137946,0.008868813594170383
dist_nearest_atm_m,0.0018589342126232203,0.008318975097568796
inv_dist_nearest_college_m,0.0009195762682575461,0.00801220213511998
dist_nearest_community_centre_m,-0.001009715189843203,0.007898777830383197
gauss_dist_nearest_library_m,0.0010206235054934778,0.007439786759619555
dist_nearest_restaurant_m,-0.0003593285543598439,0.007353931527095136
log_dist_nearest_pub_m,-0.0008278648925928571,0.006899028404538201
dist_to_kampala_m,0.0025064525288047966,0.006534517944393802
log_dist_nearest_doctors_m,0.0007017642175175319,0.005985651788979295
amenity_clinic_within_2km,0.0011528569811137942,0.005835138320063745
dist_nearest_bank_m,0.0026990842979211067,0.005792066958780742
inv_dist_nearest_public_building_m,-0.00022154678581875502,0.005644792336534204
amenity_school_within_2km,0.0013797323899130342,0.005147210944502839
survey_weight,0.0012097548649847932,0.005119351666432456
log_dist_nearest_public_building_m,-0.0008818199560183944,0.004828168529708326
dist_nearest_university_m,-0.0014110995484335153,0.0047278575990873034
log_dist_nearest_bar_m,0.0001604607258421328,0.0046133219987646076
inv_dist_nearest_clinic_m,0.0013906659631254669,0.004569032908488619
inv_dist_nearest_doctors_m,0.0016285559115933846,0.004565288079260018
inv_dist_nearest_fast_food_m,0.0002861902123415743,0.004319480899621688
inv_dist_nearest_restaurant_m,0.0002883916525479244,0.004217538771341657
log_dist_nearest_school_m,0.0006804336053119609,0.004063896612398311
inv_dist_nearest_kindergarten_m,0.0015908546698029618,0.0040036320906739154
gauss_dist_nearest_cafe_m,-0.0006224000713351516,0.003993465991265909
log_dist_nearest_kindergarten_m,0.0012265326688589275,0.003936328519623926
conflict_battles_within_5km,-0.0002642323165022443,0.0038230012693985784
gauss_dist_nearest_fast_food_m,-0.0007121334396856315,0.0037633116306447826
log_dist_nearest_cafe_m,0.0017420634838269285,0.003723609797853357
log_dist_nearest_fire_station_m,0.0018571126812755173,0.003706734607835897
dist_nearest_police_m,-0.0006477240689347302,0.003341785752803274
log_dist_nearest_community_centre_m,-0.0005708345548502693,0.0033383368832678455
inv_dist_nearest_dentist_m,-0.000301491623174718,0.003316094374037568
amenity_clinic_within_5km,-2.2808153387373477e-05,0.0032663461768378567
inv_dist_nearest_cafe_m,0.0011979697657263234,0.003090162582793597
log_dist_nearest_fast_food_m,-0.0017195052452353226,0.003028869020263635
amenity_kindergarten_within_5km,0.0009187381727714381,0.002891953989277974
inv_dist_nearest_bar_m,-0.0008478998883469233,0.0028833366074638364
gauss_dist_nearest_college_m,0.00013635087461030452,0.002815012255144284
log_dist_nearest_library_m,0.0008930336901395946,0.002764169474870744
amenity_police_within_5km,0.0014134205250413614,0.0027519789275332216
log_dist_nearest_dentist_m,9.029810076893185e-05,0.002736153922558254
inv_dist_nearest_atm_m,0.0009301407364983399,0.0025156412132177754
log_dist_nearest_atm_m,0.0016417679065951966,0.0025069203753908587
log_dist_nearest_restaurant_m,-0.00013001854360346048,0.002494514588670415
amenity_hospital_within_5km,0.0003450947610556121,0.002372665285704796
inv_dist_nearest_cinema_m,0.0005077014506907359,0.0023473451338255824
inv_dist_nearest_school_m,0.0008187604766046893,0.002279786828315436
inv_dist_nearest_hospital_m,0.0007624238360778458,0.0022123387238035088
inv_dist_nearest_library_m,0.0012432119405240377,0.00217110071504175
amenity_count_2km,0.00030030422899922333,0.0021536856201153087
dist_to_baghdad_m,0.0005176804925403824,0.001973985292144894
inv_dist_nearest_bank_m,0.0007408074152565641,0.0019355098643158385
amenity_school_within_2km_within,0.0004906571158147013,0.001860156748801072
inv_dist_nearest_community_centre_m,-0.0001684105059124221,0.0017725035246173675
inv_dist_nearest_pharmacy_m,0.0001675520590082658,0.0017711145917825913
inv_dist_nearest_police_m,9.918503621144414e-05,0.0017311700352104992
amenity_pharmacy_within_5km,-0.000595548994328898,0.0017104971097504271
